Date,Total
2002-03-01,28645
2002-04-01,25023
2002-05-01,27261
2002-06-01,24670
2002-07-01,26441
2002-08-01,27961
2002-09-01,26498
2002-10-01,27800
2002-11-01,23939
2002-12-01,22930
2003-01-01,27584
2003-02-01,27586
2003-03-01,30485
2003-04-01,26135
2003-05-01,27370
2003-06-01,25487
2003-07-01,26427
2003-08-01,27672
2003-09-01,26853
2003-10-01,27875
2003-11-01,23416
2003-12-01,22482
2004-01-01,27140
2004-02-01,28526
2004-03-01,28845
2004-04-01,25033
2004-05-01,24764
2004-06-01,24896
2004-07-01,24623
2004-08-01,26538
2004-09-01,24674
2004-10-01,25863
2004-11-01,23156
2004-12-01,22721
2005-01-01,26204
2005-02-01,26526
2005-03-01,27473
2005-04-01,24536
2005-05-01,25764
2005-06-01,25154
2005-07-01,23729
2005-08-01,25336
2005-09-01,24649
2005-10-01,25904
2005-11-01,22868
2005-12-01,21825
2006-01-01,26955
2006-02-01,27349
2006-03-01,29367
2006-04-01,24071
2006-05-01,23173
2006-06-01,21740
2006-07-01,22056
2006-08-01,23923
2006-09-01,22189
2006-10-01,22458
2006-11-01,19476
2006-12-01,21056
2007-01-01,22842
2007-02-01,22943
2007-03-01,23445
2007-04-01,19176
2007-05-01,22058
2007-06-01,19451
2007-07-01,20378
2007-08-01,21778
2007-09-01,20431
2007-10-01,22486
2007-11-01,18889
2007-12-01,18574
2008-01-01,24658
2008-02-01,24997
2008-03-01,23987
2008-04-01,21199
2008-05-01,21205
2008-06-01,21553
2008-07-01,21166
2008-08-01,20720
2008-09-01,18067
2008-10-01,21121
2008-11-01,16617
2008-12-01,15917
2009-01-01,19262
2009-02-01,20658
2009-03-01,22660
2009-04-01,20147
2009-05-01,18818
2009-06-01,19017
2009-07-01,19451
2009-08-01,18502
2009-09-01,18893
2009-10-01,19480
2009-11-01,15743
2009-12-01,16554
2010-01-01,19465
2010-02-01,22617
2010-03-01,22438
2010-04-01,18511
2010-05-01,19142
2010-06-01,19063
2010-07-01,18006
2010-08-01,20386
2010-09-01,20280
2010-10-01,18894
2010-11-01,15941
2010-12-01,16851
2011-01-01,18204
2011-02-01,15564
2011-03-01,17984
2011-04-01,13979
2011-05-01,12591
2011-06-01,12408
2011-07-01,12779
2011-08-01,14233
2011-09-01,13410
2011-10-01,12893
2011-11-01,11843
2011-12-01,11321
2012-01-01,13427
2012-02-01,14447
2012-03-01,14717
2012-04-01,11998
2012-05-01,13379
2012-06-01,12463
2012-07-01,13276
2012-08-01,14442
2012-09-01,13422
2012-10-01,13795
2012-11-01,13352
2012-12-01,12716
